ID,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,STATUS,CODE_GENDER_NUM,FLAG_OWN_CAR_NUM,FLAG_OWN_REALTY_NUM,CNT_CHILDREN_NUM
5008804,1,0,0,C,0,1,1,0
5008805,1,0,0,C,0,1,1,0
5008806,0,0,0,C,0,1,1,0
5008808,0,1,1,0,1,0,1,0
5008809,0,1,1,X,1,0,1,0
5008810,0,1,1,C,1,0,1,0
5008811,0,1,1,C,1,0,1,0
5008812,0,0,0,0,1,0,1,0
5008813,0,0,0,0,1,0,1,0
5008814,0,0,0,0,1,0,1,0
5008815,1,1,1,0,0,1,1,0
5008819,0,0,0,X,0,1,1,0
5008820,0,0,0,X,0,1,1,0
5008821,0,0,0,X,0,1,1,0
5008822,0,0,0,X,0,1,1,0
5008823,0,0,0,X,0,1,1,0
5008824,0,0,0,0,0,1,1,0
5008825,0,0,0,0,1,1,0,0
5008826,0,0,0,C,1,1,0,0
5008827,0,0,0,C,0,1,1,0
5008830,0,1,0,C,1,0,1,0
5008831,0,1,0,C,1,0,1,0
5008832,0,1,0,C,1,0,1,0
5008834,0,0,0,C,1,0,1,0
5008835,0,0,0,X,1,0,1,0
5008836,0,0,0,C,0,1,1,0
5008837,0,0,0,C,0,1,1,0
5008838,0,0,0,X,0,0,1,0
5008839,0,0,0,C,0,0,1,0
5008840,0,0,0,C,0,0,1,0
5008841,0,0,0,0,0,0,1,0
5008842,0,0,0,0,0,0,1,0
5008843,0,0,0,C,0,0,1,0
5008844,0,1,0,C,0,1,1,0
5008846,0,1,0,0,0,1,1,0
5008847,0,1,0,C,0,1,1,0
5008849,0,1,0,C,0,1,1,0
5008850,0,1,0,0,0,1,1,0
5008851,0,1,0,0,0,1,1,0
5008852,0,1,0,0,0,1,1,0
5008853,0,1,0,C,0,1,1,0
5008854,0,0,0,0,1,1,1,0
5008855,0,0,0,C,1,1,1,0
5008856,0,0,0,0,1,1,1,0
5008857,0,0,0,X,1,1,1,0
5008858,0,0,0,C,1,1,1,0
5008859,0,0,0,0,1,1,1,0
5008860,0,0,0,0,1,1,1,0
5008861,0,0,0,0,1,1,1,0
5008862,0,0,0,0,1,1,1,0
5008863,0,0,0,0,1,1,1,0
5008864,0,0,0,0,1,1,1,0
5008865,0,0,0,0,1,1,1,0
5008866,0,0,0,0,1,1,1,0
5008867,0,0,0,X,1,1,1,0
5008868,0,0,0,0,1,0,1,0
5008870,0,0,0,0,1,0,1,0
5008872,0,1,0,0,0,1,1,0
5008873,0,0,1,C,1,0,1,0
5008874,0,0,1,C,1,0,1,0
5008875,0,0,1,C,1,0,1,0
5008876,0,0,1,C,1,0,1,0
5008877,0,0,1,C,1,0,1,0
5008878,0,0,1,1,1,0,1,0
5008879,0,0,1,C,1,0,1,0
5008880,0,0,1,C,1,0,1,0
5008881,0,0,1,C,1,0,1,0
5008882,0,0,1,C,1,0,1,0
5008884,0,0,0,C,1,0,1,0
5008888,0,0,0,X,1,0,1,0
5008889,0,0,0,0,1,0,1,0
5008890,0,0,0,X,1,0,1,0
5008891,0,0,0,C,1,0,1,0
5008892,0,0,0,C,1,0,1,0
5008893,0,0,0,C,1,0,1,0
5008894,0,0,0,C,1,0,1,0
5008895,0,0,0,C,1,0,1,0
5008896,0,0,0,C,1,0,1,0
5008897,0,0,0,C,1,0,1,0
5008898,0,0,0,C,1,0,1,0
5008899,0,0,0,C,1,0,1,0
5008900,0,0,0,C,1,0,1,0
5008901,0,0,0,C,1,0,1,0
5008902,0,0,0,C,1,0,1,0
5008903,0,0,0,C,1,0,1,0
5008904,0,0,0,C,1,0,1,0
5008905,0,0,0,C,1,0,1,0
5008906,0,0,0,C,1,0,1,0
5008907,0,0,0,C,1,0,1,0
5008908,0,0,0,C,1,0,1,0
5008909,0,0,0,C,1,0,1,0
5008910,0,0,0,C,1,0,1,0
5008911,0,0,0,C,1,0,1,0
5008912,0,0,0,C,1,0,1,0
5008913,0,0,0,C,1,0,1,0
5008914,0,0,0,C,1,0,1,0
5008915,0,0,0,C,1,0,1,0
5008916,0,0,0,C,1,0,1,0
5008917,0,0,0,C,1,0,1,0
5008918,0,0,0,C,1,0,1,0
5008919,0,0,0,C,1,0,1,0
5008920,0,0,0,C,1,0,1,0
5008921,0,0,0,C,1,0,1,0
5008922,0,0,0,C,1,0,1,0
5008923,0,0,0,C,1,0,1,0
5008924,0,0,0,C,1,0,1,0
5008925,0,0,0,C,1,0,1,0
5008926,0,0,0,0,1,0,1,0
5008927,0,0,0,C,1,0,1,0
5008928,0,0,0,1,1,0,1,0
5008929,0,0,0,C,1,0,1,0
5008930,0,0,0,0,1,0,1,0
5008931,0,0,0,C,1,0,1,0
5008932,0,0,0,0,1,0,1,0
5008933,0,0,0,C,1,0,1,0
5008934,0,0,0,C,1,0,1,0
5008935,0,0,0,C,1,0,1,0
5008936,0,0,0,C,1,0,1,0
5008937,0,0,0,C,1,0,1,0
5008938,0,0,0,C,1,0,1,0
5008939,0,0,0,C,1,0,1,0
5008940,0,0,0,C,1,0,1,0
5008941,0,0,0,C,1,0,1,0
5008942,0,1,0,X,1,0,0,0
5008943,0,1,0,X,1,0,0,0
5008944,0,1,0,X,1,0,0,0
5008945,0,1,0,X,1,0,0,0
5008946,0,1,0,X,1,0,0,0
5008947,1,1,0,X,0,0,1,0
5008948,1,1,0,X,0,0,1,0
5008949,1,1,0,X,0,0,1,0
5008950,1,1,0,X,0,0,1,0
5008951,0,0,0,C,0,0,1,0
5008952,0,0,0,X,0,0,1,0
5008953,0,0,0,X,0,0,1,0
5008954,0,0,0,0,0,0,1,0
5008955,0,0,0,0,1,1,1,0
5008956,0,0,0,C,1,1,1,0
5008957,0,0,0,C,1,1,1,0
5008958,0,0,0,0,1,1,1,0
5008959,0,0,0,C,1,1,1,0
5008960,0,0,0,C,1,1,1,0
5008962,0,0,0,C,1,1,1,0
5008963,0,0,0,C,1,1,1,0
5008966,0,1,0,0,0,0,1,0
5008967,0,1,0,0,0,0,1,0
5008971,0,1,0,0,0,0,1,0
5008973,0,1,0,0,0,0,1,0
5008974,0,0,0,0,1,0,1,0
5008975,0,0,0,X,1,0,1,0
5008976,0,0,0,0,1,0,1,0
5008977,0,0,0,0,1,0,1,0
5008978,0,0,0,X,1,0,1,0
5008979,0,0,0,C,1,0,1,0
5008980,0,0,0,C,1,0,1,0
5008981,0,1,0,X,0,1,1,0
5008983,0,1,0,X,0,1,1,0
5008984,0,1,0,C,0,1,1,0
5008986,0,1,0,X,0,1,1,0
5008987,0,1,0,C,0,1,1,0
5008988,0,1,0,X,0,1,1,0
5008991,1,1,0,X,1,1,1,0
5008992,1,1,0,C,1,1,1,0
5008993,1,1,0,0,1,1,1,0
5008994,1,1,0,0,1,1,1,0
5008995,1,1,0,X,1,1,1,0
5008998,0,0,1,X,1,1,1,0
5008999,0,0,1,X,1,1,1,0
5009000,0,0,0,C,0,1,1,0
5009001,1,1,0,X,0,0,1,0
5009002,1,1,0,X,0,0,1,0
5009005,1,1,0,X,0,0,1,0
5009006,1,1,0,X,0,0,1,0
5009007,1,1,0,X,0,0,1,0
5009008,1,1,0,X,0,0,1,0
5009009,1,1,0,X,0,0,1,0
5009010,1,1,0,X,0,0,1,0
5009012,1,1,0,0,0,0,1,0
5009014,1,1,0,X,0,0,1,0
5009016,0,0,1,C,1,0,1,0
5009018,0,0,1,C,1,0,1,0
5009019,0,0,1,0,1,0,1,0
5009020,0,0,1,C,1,0,1,0
5009022,0,0,1,C,1,0,1,0
5009023,0,0,1,C,1,0,1,0
5009024,0,0,1,C,1,0,1,0
5009025,0,0,1,C,1,0,1,0
5009027,0,0,1,0,1,1,1,0
5009028,0,0,0,X,1,1,1,0
5009029,0,0,0,C,1,1,1,0
5009031,0,0,0,C,1,0,1,0
5009032,0,0,0,C,1,0,1,0
5009033,0,0,0,X,1,0,0,0
5009034,0,0,0,C,1,0,0,0
5009035,0,0,0,X,1,0,0,0
5009036,0,0,0,C,1,0,0,0
5009037,0,0,0,X,1,0,0,0
5009038,0,0,0,X,1,0,0,0
5009039,0,0,0,C,1,0,1,0
5009040,0,0,0,C,1,0,1,0
5009042,0,0,0,X,1,0,1,0
5009043,0,0,0,X,1,0,1,0
5009044,0,0,0,X,1,0,1,0
5009045,0,0,0,X,1,0,1,0
5009046,0,0,0,0,1,0,1,0
5009047,0,0,0,0,1,0,1,0
5009050,0,0,1,C,1,0,1,0
5009051,0,0,1,C,1,0,1,0
5009052,0,0,1,C,1,0,1,0
5009053,0,0,1,C,1,0,1,0
5009055,0,0,1,X,1,0,1,0
5009056,1,0,0,0,0,0,1,0
5009057,1,0,0,0,0,0,1,0
5009058,0,1,1,X,1,1,1,0
5009060,0,1,0,0,1,0,1,0
5009062,0,0,0,C,0,1,1,0
5009063,0,0,0,C,0,1,1,0
5009064,0,0,0,X,0,1,1,0
5009065,0,0,0,X,0,1,1,0
5009066,0,0,0,0,0,1,1,0
5009067,0,0,0,X,0,1,1,0
5009068,0,0,0,C,0,1,1,0
5009069,0,0,0,C,0,1,1,0
5009070,0,0,0,C,0,1,1,0
5009071,0,1,1,C,1,1,1,0
5009072,0,1,1,C,1,1,1,0
5009074,0,1,1,0,1,1,1,0
5009075,0,1,1,X,1,1,1,0
5009078,0,0,0,C,0,0,1,0
5009079,0,0,1,C,1,0,1,0
5009080,0,0,1,C,1,0,1,0
5009081,0,0,1,X,1,0,1,0
5009083,0,0,0,C,0,0,1,0
5009084,0,0,0,0,0,0,1,0
5009088,0,0,0,X,0,1,0,0
5009089,0,0,0,0,0,1,0,0
5009090,0,0,0,0,0,1,1,0
5009092,1,0,0,1,0,1,1,0
5009094,1,0,0,0,0,1,1,0
5009095,1,0,0,0,0,1,1,0
5009096,0,0,1,C,1,0,1,0
5009097,0,0,1,X,1,0,1,0
5009098,0,0,1,C,1,0,1,0
5009099,0,0,0,X,1,0,1,0
5009100,0,0,0,X,1,0,1,0
5009103,0,1,0,C,0,1,1,0
5009104,0,1,0,X,0,1,1,0
5009105,0,1,0,X,0,1,1,0
5009106,0,1,0,X,0,1,1,0
5009108,0,0,0,0,0,0,1,0
5009109,0,0,0,C,0,0,1,0
5009110,0,0,1,0,1,0,1,0
5009116,0,0,0,C,1,0,0,0
5009117,0,0,0,C,1,0,0,0
5009118,0,0,0,C,1,0,0,0
