Name,SASColumnType,ReadFlag,Desc,SASFormat,SASInformat
OCCUPATION_TYPE,N,Y,"",,
NAME_HOUSING_TYPE,N,Y,"",,
CODE_GENDER,C,Y,"",,
FLAG_OWN_CAR,C,Y,"",,
FLAG_OWN_REALTY,C,Y,"",,
ID,N,Y,"ID",BEST12.,BEST32.
AMT_INCOME_TOTAL,N,Y,"AMT_INCOME_TOTAL",BEST12.,BEST32.
NAME_FAMILY_STATUS,C,Y,"NAME_FAMILY_STATUS",,
DAYS_BIRTH,N,Y,"DAYS_BIRTH",BEST12.,BEST32.
DAYS_EMPLOYED,N,Y,"DAYS_EMPLOYED",BEST12.,BEST32.
FLAG_MOBIL,N,Y,"FLAG_MOBIL",BEST12.,BEST32.
MONTHS_BALANCE,N,Y,"MONTHS_BALANCE",BEST12.,BEST32.
NAME_HOUSING_TYPE_BRK,C,Y,"NAME_HOUSING_TYPE_BRK",,
OCCUPATION_TYPE_BRK,C,Y,"OCCUPATION_TYPE_BRK",,
FLAG_WORK_PHONE,N,Y,"FLAG_WORK_PHONE",BEST12.,BEST32.
FLAG_PHONE,N,Y,"FLAG_PHONE",BEST12.,BEST32.
FLAG_EMAIL,N,Y,"FLAG_EMAIL",BEST12.,BEST32.
STATUS,C,Y,"STATUS",,
CNT_CHILDREN_NUM,N,Y,"CNT_CHILDREN_NUM",BEST12.,BEST32.
NAME_INCOME_TYPE,C,Y,"",,
NAME_EDUCATION_TYPE,C,Y,"",,
